traditional	simplified	pinyin	translation_fr-FR
⺮	⺮	zhu2	"(bambou, 118e radical Kangxi)"
〇	〇	ling2	"0__zéro"
〡	〡	yi1	"1 dans la numération Suzhou"
〢	〢	er4	"2 dans la numération Suzhou"
〣	〣	san1	"3 dans la numération Suzhou"
〤	〤	si4	"4 dans la numération Suzhou"
〥	〥	wu3	"5 dans la numération Suzhou"
〦	〦	liu4	"6 dans la numération Suzhou"
〧	〧	qi1	"7 dans la numération Suzhou"
〨	〨	ba1	"8 dans la numération Suzhou"
〩	〩	jiu3	"9 dans la numération Suzhou"
ㄅ	ㄅ	bo1	"Première lettre de l'alphabet bopomofo"
𠔻	𠔻	zheng4	"(arch.)"
㑇	㑇	zhou4	"(arch.) beau__malin"
儸	㑩	luo2	"malin__intelligent"
㓖	㓖	bie2	"froid mordant__vent du nord"
𡳞	𡳞	lin4	"(dialecte de Minnan) organes génitaux masculins__pénis"
媰	㛀	chu2	"femme enceinte (arch.)"
㛂	㛂	nuo3	"gracieuse__frêle et petite"
㞗	㞗	qiu2	"(dial.) pénis__bite"
㞞	㞞	song2	"(famil.) sperme__faible et incompétent"
懤懤	㤽㤽	chou2 chou2	"anxieux__déprimé"
㥏	㥏	tian3	"honteux"
殰	㱩	du2	"avortement__mort-né"
㵮	㵮	chun2	"eau claire"
燶	㶶	nong2	"(dial.) bruler__roussir"
㹴	㹴	geng3	"chien féroce"
㹴犬	㹴犬	geng3 quan3	"terrier (chien)"
㺵	㺵	jiu2	"jade noir"
䅵	䅵	zhuo2	"balle__son de blé"
籔	䉤	sou3	"panier pour drainer le riz"
紬	䌷	chou2	"(soie)"
䍃	䍃	yao2	"(arch.) vase__pichet"
薳	䓕	wei3	"(arch.) type d'herbe"
䓛	䓛	gu3	"chrysène"
䕭	䕭	qian2	"(variété d'herbe)__ortie"
䕭	䕭	xian2	"(sorte de légume)"
螮	䗖	di4	"arc-en-ciel"
螮蝀	䗖蝀	di4 dong1	"(arch.) arc-en-ciel"
䗪	䗪	zhe4	"coccinelle chinoise (eupolyphaga sinensis)"
貙	䝙	chu1	"(arch.) animal ressemblant à un tigre"
𨧀	𬭊	du4	"dubnium"
𨨏	𬭛	bo1	"bohrium"
𨭎	𬭳	xi3	"seaborgium"
𨭆	𬭶	hei1	"hassium"
䥑	䥑	mai4	"Meitnérium"
䫏	䫏	qi1	"masque d'un dieu utilisé durant les cérémonies pour exorciser les démons et écarter la peste__(arch.) moche"
騧	䯄	gua1	"cheval pie"
鳾	䴓	shi1	"sittelle"
鵁	䴔	jiao1	"(espèce d'oiseau aquatique)"
鴷	䴕	lie4	"pivert"
龑	䶮	yan3	"élevé et lumineux"
一	一	yi1	"1 (nombre)__un__(radical 1)"
一一	一一	yi1 yi1	"yi yi"
一萬	一万	yi1 wan4	"myriade"
一下	一下	yi1 xia4	"une fois__tout d'un coup__subitement"
一下子	一下子	yi1 xia4 zi5	"net__d'un coup__d'un seul coup__en une fois"
一世	一世	yi1 shi4	"une génération"
一絲一毫	一丝一毫	yi1 si1 yi1 hao2	"(expr. idiom.) un fil, un poil__un tout petit peu__un brin__un iota__un poil"
一絲不掛	一丝不挂	yi1 si1 bu4 gua4	"(expr. idiom.) tout nu__nu comme un ver"
一絲不苟	一丝不苟	yi1 si1 bu4 gou3	"(expr. idiom.) exécuter toutes choses avec une extrême minutie et une extrême exactitude__être très scrupuleux__méticuleux__minutieux__mettre beaucoup de ponctualité et de minutie à faire son travail__travailler"
一個中國政策	一个中国政策	yi1 ge4 Zhong1 guo2 zheng4 ce4	"politique d'une seule Chine"
一個星期	一个星期	yi1 ge5 xing1 qi1	"(pendant) une semaine"
一個月	一个月	yi1 ge4 yue4	"un mois"
一個樣	一个样	yi1 ge5 yang4	"le même"
一個美國人在巴黎	一个美国人在巴黎	yi1 ge4 mei3 guo2 ren2 zai4 ba1 li2	"Un Américain à Paris (musique, film)"
一串	一串	yi1 chuan4	"brochette"
一串紅	一串红	yi1 chuan4 hong2	"Salvia splendens__sauge rouge"
一舉	一举	yi1 ju3	"coup"
一舉一動	一举一动	yi1 ju3 yi1 dong4	"chaque mouvement"
一舉兩得	一举两得	yi1 ju3 liang3 de2	"(expr. idiom.) atteindre deux objectifs d'un seul mouvement__réussir à faire deux choses en une action__d'une pierre deux coups"
一九八四	一九八四	yi1 jiu3 ba1 si4	"1984 (roman)"
一了百了	一了百了	yi1 liao3 bai3 liao3	"une fois que le problème principal est réglé, tous les problèmes sont réglés__la mort met fin à tous les problèmes"
一事不再理	一事不再理	yi1 shi4 bu4 zai4 li3	"Non bis in idem__pas deux fois pour la même chose"
一二	一二	yi1 er4	"un ou deux__un peu"
一些	一些	yi1 xie1	"un certain nombre de__quelques__un peu (de)"
一億	一亿	yi1 yi4	"cent millions"
一介不取	一介不取	yi1 jie4 bu4 qu3	"ne pas prendre même un centime (comme pot de vin)"
一代	一代	yi1 dai4	"génération"
一件	一件	yi1 jian4	"un courrier__un document"
一件事	一件事	yi1 jian4 shi4	"une chose"
一份	一份	yi1 fen4	"une part__une portion"
一休	一休	yi1 xiu1	"Ikkyu Sojun"
一會	一会	yi1 hui4	"un moment__un certain temps__en un moment"
一會兒	一会儿	yi1 hui4 r	"un moment__un instant__dans un moment__bientôt__tantôt... tantôt"
一位	一位	yi1 wei4	"(spécificatif pour montrer le respect)"
一體	一体	yi1 ti3	"tout__totalité__ensemble (organique)__tout le monde"
一體化	一体化	yi1 ti3 hua4	"intégration"
一元	一元	yi1 yuan2	"variable unique (math.)__univarié"
一共	一共	yi1 gong4	"en tout__au total"
一再	一再	yi1 zai4	"à plusieurs reprises__plus d'une fois"
一刀	一刀	yi1 dao1	"un sabre__un coup (de lame)__une liasse de cent feuilles"
一分	一分	yi1 fen1	"une minute (de temps)"
一分一毫	一分一毫	yi1 fen1 yi1 hao2	"(expr. idiom.) un tout petit peu__un iota"
一分耕耘，一分收穫	一分耕耘，一分收获	yi1 fen1 geng1 yun2 , yi1 fen1 shou1 huo4	"on récolte ce que l'on sème"
一分錢	一分钱	yi1 fen1 qian2	"un centime"
一切	一切	yi1 qie4	"tout"
一切如舊	一切如旧	yi1 qie4 ru2 jiu4	"tout comme avant"
一切都	一切都	yi1 qie4 dou1	"tout__tous"
一則	一则	yi1 ze2	"d'un côté__d'une part"
一則以喜，一則以憂	一则以喜，一则以忧	yi1 ze2 yi3 xi3 , yi1 ze2 yi3 you1	"(expr. idiom.) heureux d'une part, mais inquiet de l'autre"
一動不動	一动不动	yi1 dong4 bu4 dong4	"immobile"
一千	一千	yi1 qian1	"mille__un millier"
一千年	一千年	yi1 qian1 nian2	"mille ans"
一韆零二夜	一千零二夜	yi1 qian1 ling2 er4 ye4	"Azur et Asmar (film)"
一半	一半	yi1 ban4	"un demi"
一廂情願	一厢情愿	yi1 xiang1 qing2 yuan4	"ses propres illusions"
一雙	一双	yi1 shuang1	"une paire"
一發不可收拾	一发不可收拾	yi1 fa1 bu4 ke3 shou1 shi5	"hors de contrôle"
一口	一口	yi1 kou3	"bouchée"
一口氣	一口气	yi1 kou3 qi4	"d'un (seul) coup__d'une traite__d'un trait__un souffle (de vie)"
一句	一句	yi1 ju4	"un vers__une phrase"
一句話	一句话	yi1 ju4 hua4	"en un mot__pour faire court"
一台	一台	yi1 tai2	"machine__pièce de théâtre"
